,accuracy,precision,recall,f1
2,0.7100371747211895,0.7341298542361441,0.7100371747211895,0.7050920378468644
15,0.9090909090909091,0.9196191060023282,0.9090909090909091,0.9082581137844018
21,0.7354497354497355,0.7545574355098165,0.7354497354497355,0.7313018588049877
22,0.796875,0.8289104992229993,0.796875,0.7913366894025723
38,0.8870056497175142,0.899474453784086,0.8870056497175142,0.8853997506230352
49,0.8630952380952381,0.870681168458412,0.8630952380952381,0.8621051043061482
51,0.6382252559726962,0.6596414267295376,0.6382252559726962,0.6319416794893878
53,0.8040540540540541,0.8142411642411642,0.8040540540540541,0.8030192130228976
55,0.7987421383647799,0.8094094584660623,0.7987421383647799,0.79719711847233
58,0.8395061728395061,0.8579604957924741,0.8395061728395061,0.8379241095079987
59,0.8556701030927835,0.8847474816666858,0.8556701030927835,0.8560725932009609
64,0.7198581560283688,0.7468858162506914,0.7198581560283688,0.7142400081437893
72,0.8163265306122449,0.8305778428392633,0.8163265306122449,0.815172620796958
75,0.9264069264069265,0.9355857061439294,0.9264069264069265,0.9247325644073633
88,0.8356164383561644,0.8511924916094924,0.8356164383561644,0.8315226910315456
89,0.8776595744680851,0.9040656881708196,0.8776595744680851,0.879334414407966
100,0.8349056603773585,0.8514291910648448,0.8349056603773585,0.8325970806056977
103,0.7642857142857142,0.7838372445293746,0.7642857142857142,0.7625704368206865
104,0.8859649122807017,0.9023794331492418,0.8859649122807017,0.8837864372655957
107,0.7793103448275862,0.7978147554129912,0.7793103448275862,0.7755149988861301
108,0.8461538461538461,0.8643578643578643,0.8461538461538461,0.8437739660586021
117,0.6779661016949152,0.6980814313815311,0.6779661016949152,0.6726854557655259
122,0.6972972972972973,0.7148256799959587,0.6972972972972973,0.692428731762065
130,0.9395604395604396,0.947202476226344,0.9395604395604396,0.9389047509430775
131,0.8392857142857143,0.8542722655766134,0.8392857142857143,0.8383753606474296
135,0.9217687074829932,0.9299567017908316,0.9217687074829932,0.9218669103360825
150,0.8378378378378378,0.8508588349066913,0.8378378378378378,0.8358781194988091
152,0.7608695652173914,0.7829641639264401,0.7608695652173914,0.757420221898942
