,gini_index,entropy,purity,inverse_purity,f_measure
2,0.22839941021685856,0.5327872022958925,0.8606271777003485,0.8606271777003485,0.8606271777003485
3,0.18686428761448715,0.4542585331493255,0.88268156424581,0.88268156424581,0.88268156424581
15,0.3198841211737165,0.6764366693348964,0.748792270531401,0.7536231884057971,0.7511999627196048
21,0.321458719116494,0.7098307991074478,0.7435897435897436,0.7794871794871795,0.7611154277820946
22,0.2148964896489649,0.5177781674428116,0.8613861386138614,0.8613861386138614,0.8613861386138614
24,0.1717171717171717,0.42737973178986616,0.8979591836734694,0.8979591836734694,0.8979591836734694
30,0.16695641285747212,0.41500394091582,0.9020618556701031,0.9020618556701031,0.9020618556701031
38,0.3798605604017975,0.7866389145748216,0.6907216494845361,0.7216494845360825,0.705846941079088
52,0.2615166609412573,0.63320223345039,0.8309859154929577,0.8309859154929577,0.8309859154929577
53,0.12138694638694639,0.3051409906175405,0.9282051282051282,0.9282051282051282,0.9282051282051282
61,0.19030787309048175,0.48146961162920565,0.8810810810810811,0.8810810810810811,0.8810810810810811
64,0.1693511298825564,0.40160415388961596,0.8904593639575972,0.8904593639575972,0.8904593639575972
72,0.23569508014118945,0.5286451985114291,0.8403755868544601,0.8403755868544601,0.8403755868544601
75,0.21881831041065072,0.4869646885815523,0.8602620087336245,0.8602620087336245,0.8602620087336245
83,0.38433278325769793,0.7878430470574709,0.6860068259385665,0.7235494880546075,0.7042781941839037
85,0.31301913615743404,0.6657420272731562,0.7553191489361702,0.7553191489361702,0.7553191489361702
87,0.23372220250286693,0.5250564063146407,0.8426966292134831,0.8426966292134831,0.842696629213483
88,0.3354466643860076,0.7096435261389841,0.7230046948356808,0.755868544600939,0.7390714658320292
92,0.3843519914836966,0.7930998365469006,0.7008797653958945,0.7008797653958945,0.7008797653958945
93,0.17227504244482172,0.4563343619728889,0.896774193548387,0.896774193548387,0.896774193548387
1,0.12159751585623682,0.3295844258450071,0.9322916666666666,0.9322916666666666,0.9322916666666666
4,0.3324749782954117,0.6960179873623382,0.7301587301587301,0.7671957671957672,0.7482191934488754
5,0.17054512576103978,0.4094848935110031,0.895910780669145,0.895910780669145,0.8959107806691451
