,accuracy,precision,recall,f1
2,0.8606271777003485,0.8725889625822173,0.8606271777003485,0.8595464224012958
3,0.88268156424581,0.9018219131227909,0.88268156424581,0.8802380247645987
15,0.748792270531401,0.7620679170348484,0.748792270531401,0.7443915038405466
21,0.7435897435897436,0.7707221860767729,0.7435897435897436,0.7404190169218372
22,0.8613861386138614,0.881958388146507,0.8613861386138614,0.8579326602505735
24,0.8979591836734694,0.9095804988662131,0.8979591836734694,0.8977513090414789
30,0.9020618556701031,0.9075526669654863,0.9020618556701031,0.9022254731320831
38,0.6907216494845361,0.7104596219931271,0.6907216494845361,0.685360752138787
52,0.8309859154929577,0.8632500286270468,0.8309859154929577,0.8342724341471774
53,0.9282051282051282,0.9397727272727272,0.9282051282051282,0.9246647494590994
61,0.8810810810810811,0.9088695652173914,0.8810810810810811,0.8811834668035177
64,0.8904593639575972,0.91522591950409,0.8904593639575972,0.8863870011237799
72,0.8403755868544601,0.8499540462755926,0.8403755868544601,0.8389023783561744
75,0.8602620087336245,0.8709122106721925,0.8602620087336245,0.8593523356369974
83,0.6450511945392492,0.6595059633199565,0.6450511945392492,0.6385845635155922
85,0.75,0.7675827423167848,0.75,0.7447742959250937
87,0.8426966292134831,0.8517271274415893,0.8426966292134831,0.8410777100439095
88,0.7183098591549296,0.73938539264563,0.7183098591549296,0.7131507124440054
92,0.7008797653958945,0.7194585143766046,0.7008797653958945,0.6967555631816653
93,0.896774193548387,0.9181578947368421,0.896774193548387,0.8973054238429393
1,0.9322916666666666,0.9376229592435986,0.9322916666666666,0.9314968702727185
4,0.6878306878306878,0.7131590413943355,0.6878306878306878,0.6796913369683323
5,0.895910780669145,0.9040558958581303,0.895910780669145,0.8951545933898409
